IGN,RiotID,Tag,puuid,current rank,highest rank,elo
CU ClownZ#7647,CU ClownZ,7647,fd343f2a-f1e8-5636-81e6-a08d911d1696,Platinum 2,Diamond 3,1310
CU Boomcycle#9999,CU Boomcycle,9999,0fb748c4-ee49-5095-9085-49bc42211a3d,Diamond 3,Immortal 1,1788
CU Bapo#Quaan,CU Bapo,Quaan,7b805ebd-5c73-5b83-aef8-c7fa4ee4ca1f,Ascendant 2,Immortal 3,1950
MissSquirrel#EEPY,MissSquirrel,EEPY,8b23bfb4-5284-5229-af6a-c87adc7b31e2,Diamond 1,Diamond 2,1502
Yum58#6857,Yum58,6857,8d281d61-d7d7-5b58-8e2e-b68895988d2a,Silver 3,Silver 3,825
Yum58#6857,ERROR
Yum58#6857,ERROR
CU Golden#llama,CU Golden,llama,8928e520-6466-5646-b063-27cdcae33cd1,Diamond 1,Ascendant 2,1500
CU Sly#reapr,CU Sly,reapr,a54ce5c9-aa19-5452-9990-5cb337af545a,Gold 2,Platinum 1,1074
CU Jumble#reese,CU Jumble,reese,2540c4c4-c8f2-50b0-a455-39b4bba816f7,Immortal 1,Immortal 3,2100
